20000 200000
10684 15179 -2319
15179 280 -2310
280 10863 6437
1186 14744 1246
14744 2309 2386
2309 10219 2407
10219 11916 -955
11916 7544 3094
7544 2448 -5498
2448 13923 1278
13923 8534 3688
8534 15679 -4718
15679 8818 5077
8818 292 -5780
292 9561 -1966
9561 7522 5134
7522 13694 -3559
13694 8595 5982
8595 1852 -6386
1852 8981 1471
8981 15008 3477
15008 19217 -6009
19217 1186 842
2965 595 4516
595 303 -1090
303 4680 6201
4680 305 -1975
305 306 -5766
306 12856 8051
12856 11660 -5194
11660 309 4380
309 13885 -56
13885 17648 -5720
17648 18384 6582
18384 16519 -4924
16519 10741 2179
10741 4919 206
4919 6103 371
6103 4125 939
4125 3720 974
3720 8341 -7341
8341 15274 7380
15274 2965 -5211
19110 6483 632
6483 16853 1525
16853 4405 3097
4405 1300 4286
1300 11307 -1515
11307 2260 -6597
2260 3694 7450
3694 2760 -1063
2760 99 -5290
99 11894 4840
11894 5850 -1611
5850 11822 1735
11822 11067 1566
11067 7786 -8288
7786 336 8462
336 16927 600
16927 5487 -9647
5487 339 2480
339 19594 5364
19594 19110 -4648
3633 4719 4213
4719 343 68
343 15764 -133
15764 345 3775
345 6682 -525
6682 1935 -1888
1935 12638 -1671
12638 15236 5447
15236 6706 -4418
6706 18254 2034
18254 352 -2979
352 18427 -1711
18427 14283 4901
14283 9704 -6422
9704 19011 8708
19011 8513 -7333
8513 7247 -1032
7247 4985 1220
4985 11197 3664
11197 3633 -5471
7393 18153 6925
18153 1722 -1750
1722 10343 2879
10343 8596 -39
8596 6551 1515
6551 11984 -7951
11984 15303 7341
15303 1570 -4716
1570 1807 -3793
1807 9109 7625
9109 18319 -3603
18319 16737 4179
16737 7023 -6460
7023 9297 4982
9297 376 -6724
376 14971 6886
14971 17000 -1416
17000 5271 3493
5271 12647 -6574
12647 7393 -1955
2670 11662 3199
11662 10798 399
10798 8893 5478
8893 6796 641
6796 8182 -7098
8182 17166 -1158
17166 17247 3998
17247 6537 1265
6537 2682 -5152
2682 4962 2724
4962 16231 2509
16231 12222 -5822
12222 3536 4364
3536 17841 3206
17841 396 -7298
396 11406 7574
11406 5398 -6511
5398 12737 -739
12737 6212 5502
6212 2670 -6143
401 6104 6233
6104 10442 -3945
10442 17233 6949
17233 5814 -8185
5814 406 7344
406 5395 -600
5395 3882 -381
3882 409 -1088
409 3221 960
3221 9876 -4079
9876 2195 6272
2195 19474 -1393
19474 18626 -7897
18626 4728 1885
4728 3064 -435
3064 16715 1515
16715 14927 -2424
14927 2305 8206
2305 2265 216
2265 401 -1940
10110 13131 8318
13131 3646 -53
3646 5764 -5748
5764 14278 -989
14278 426 6752
426 5120 -2838
5120 7986 -1707
7986 6381 -2282
6381 14071 7421
14071 14101 -7916
14101 17281 4357
17281 18152 1434
18152 2345 -4755
2345 435 6807
435 10634 -4077
10634 1544 5136
1544 8521 -5858
8521 4509 1598
4509 4513 3517
4513 10110 -4275
19012 442 3130
442 4925 6590
4925 4051 -4354
4051 13002 1243
13002 979 -909
979 16319 -1701
16319 448 -3625
448 6250 5954
6250 3741 1410
3741 14720 -1482
14720 17194 854
17194 453 -122
453 7815 1414
7815 7818 1278
7818 501 -5429
501 457 -4198
457 5455 4404
5455 9072 2202
9072 12612 -5811
12612 19012 1873
5882 3667 1588
3667 17381 -1086
17381 14419 7300
14419 4779 -1040
4779 12544 207
12544 15947 -3159
15947 6351 -469
6351 469 1600
469 15887 -1596
15887 11969 -2951
11969 17371 2048
17371 1556 2284
1556 9628 1572
9628 3208 -334
3208 2994 1610
2994 6811 1672
6811 478 -1936
478 6244 -6454
6244 4377 2081
4377 5882 5125
12427 18459 3676
18459 483 1612
483 484 395
484 4928 543
4928 4061 497
4061 17409 -1552
17409 19387 1129
19387 489 -474
489 1028 -1017
1028 13930 1131
13930 4870 -3187
4870 797 2046
797 494 -4527
494 2828 2057
2828 15059 4052
15059 8568 -3316
8568 17403 3620
17403 12745 -1463
12745 25 3309
25 12427 854
15502 502 1602
502 14476 7629
14476 1586 -5009
1586 12203 683
12203 11013 -1243
11013 9268 5032
9268 13911 -1960
13911 6029 1232
6029 11168 -3141
11168 7920 -1651
7920 14 162
14 513 4173
513 19693 -3709
19693 17380 4481
17380 19969 116
19969 14858 -4745
14858 2700 5593
2700 519 -8433
519 60 4379
60 15502 -948
9863 2186 512
2186 8433 48
8433 2072 -157
2072 525 1951
525 18525 -801
18525 8567 6000
8567 16624 1196
16624 11899 -5554
11899 9209 -2072
9209 17151 6841
17151 8257 -6222
8257 593 2626
593 6585 -4202
6585 18266 1070
18266 8994 7312
8994 2462 -222
2462 538 -4875
538 17374 -2885
17374 13536 7308
13536 9863 1300
15435 11873 8470
11873 15341 -1914
15341 19890 -4506
19890 12290 6079
12290 3943 -2221
3943 16049 -5382
16049 1624 1881
1624 6301 6668
6301 3177 -7320
3177 10978 7703
10978 552 -3650
552 15722 -4502
15722 17587 2085
17587 19467 55
19467 556 6513
556 17793 -440
17793 15590 -2334
15590 559 -1424
559 560 796
560 15435 -1112
561 5015 1575
5015 7767 4558
7767 2649 2625
2649 11981 -6867
11981 1036 4699
1036 3939 -1879
3939 256 5239
256 15978 -1466
15978 9173 -481
9173 15691 -1035
15691 6660 -4000
6660 573 5589
573 10256 -2393
10256 1584 1539
1584 11 -514
11 5559 1267
5559 1418 -3812
1418 7443 1656
7443 19499 -3193
19499 561 -1491
6532 7006 9840
7006 12655 -2693
12655 378 -394
378 2689 -1856
2689 1440 3917
1440 16399 -586
16399 9933 -7157
9933 6848 2550
6848 590 4850
590 16524 220
16524 8597 -7037
8597 9960 290
9960 594 4190
594 8507 631
8507 596 -3817
596 15979 3500
15979 1753 779
1753 12982 -1555
12982 16151 1151
16151 6532 -689
5993 16171 6575
16171 12276 -1204
12276 11591 -2144
11591 13652 2181
13652 17482 -3694
17482 607 4968
607 608 156
608 3149 1160
3149 610 -6341
610 611 7333
611 612 -5304
612 17712 2701
17712 10668 3443
10668 660 20
660 10492 -4251
10492 5357 1152
5357 16328 -2225
16328 15423 -2480
15423 8080 1109
8080 5993 527
11268 5192 7868
5192 9186 -7686
9186 624 1806
624 4184 -1902
4184 14288 642
14288 8829 -609
8829 12795 886
12795 629 8258
629 12741 -2497
12741 456 -5085
456 3076 6252
3076 16474 -5997
16474 634 7648
634 635 376
635 16315 -6936
16315 15364 1404
15364 4682 -2532
4682 16384 6222
16384 19650 -7756
19650 11268 3136
4186 13254 1129
13254 18077 2029
18077 5980 5564
5980 7538 -1828
7538 11393 927
11393 434 -5626
434 16718 2064
16718 18124 1646
18124 8907 2676
8907 651 -5852
651 3783 2640
3783 12488 -4449
12488 19422 8822
19422 14143 -5781
14143 17953 -900
17953 4508 3483
4508 4037 -2007
4037 1434 3395
1434 5190 -4310
5190 4186 -2212
7149 7517 589
7517 663 8966
663 471 31
471 10882 -1193
10882 10756 -2406
10756 4426 2780
4426 17751 -6969
17751 8363 6785
8363 7373 -4293
7373 12899 -96
12899 4851 1044
4851 12037 -3906
12037 4664 -1090
4664 3486 3401
3486 18939 -2061
18939 677 4034
677 17760 2611
17760 46 -928
46 680 -1619
680 7149 -4488
681 185 7491
185 12164 -6599
12164 684 8435
684 2134 536
2134 686 -1948
686 18106 -5821
18106 688 1402
688 16964 6177
16964 15304 -5263
15304 3753 3873
3753 692 -7229
692 2288 5856
2288 1561 -6814
1561 18831 2525
18831 8144 -1904
8144 2874 3271
2874 7638 2960
7638 19590 -130
19590 14426 846
14426 681 -352
5874 17007 697
17007 18323 2022
18323 15430 -1734
15430 4142 1657
4142 14500 6181
14500 707 -1402
707 14960 1043
14960 709 676
709 2126 -2810
2126 711 -5569
711 8670 -488
8670 9487 347
9487 17922 7941
17922 10849 -3950
10849 10772 -328
10772 653 1527
653 13980 -1623
13980 2539 5415
2539 13678 -2282
13678 5874 -1565
10742 2806 983
2806 11462 3180
11462 19638 3360
19638 16970 -4533
16970 13145 2831
13145 14181 -3395
14181 18275 4431
18275 16101 -5891
16101 4726 3174
4726 18332 -2100
18332 19376 2498
19376 5871 -4420
5871 9900 7486
9900 17309 -4252
17309 18815 -2654
18815 1398 8649
1398 12169 -464
12169 18913 -5156
18913 6525 5266
6525 10742 -5089
3226 7248 4267
7248 1861 -770
1861 980 6311
980 19844 -7985
19844 5034 4354
5034 747 2359
747 3161 -1286
3161 11350 223
11350 8652 -5259
8652 19020 5865
19020 4429 -2757
4429 753 3615
753 15673 -985
15673 1335 -5045
1335 15754 133
15754 11063 -782
11063 13116 2556
13116 2156 -3158
2156 11582 -438
11582 3226 6268
4964 3755 9035
3755 3129 827
3129 2696 -3727
2696 11106 -2995
11106 17062 5770
17062 767 -3473
767 768 -1378
768 11355 4814
11355 2035 -8417
2035 771 409
771 17514 7890
17514 7927 -7968
7927 397 -595
397 7155 5473
7155 4641 -2127
4641 2512 551
2512 778 1677
778 8899 2464
8899 6025 -4103
6025 4964 -2022
15721 5608 9562
5608 783 -9119
783 784 2786
784 7120 1831
7120 16960 4258
16960 15894 -75
15894 7509 -5362
7509 19899 -2661
19899 16326 1663
16326 12321 391
12321 14910 5843
14910 793 -4546
793 10367 -4050
10367 17325 6847
17325 1334 -2287
1334 19385 -577
19385 6071 355
6071 12894 -1227
12894 17379 5668
17379 15721 -3523
8721 12202 5194
12202 12490 4564
12490 2075 -7257
2075 17560 -56
17560 2701 4096
2701 14995 -3912
14995 5531 5001
5531 19789 -7010
19789 11633 3026
11633 2204 1760
2204 8988 -1266
8988 584 2391
584 814 3062
814 11889 -7804
11889 15091 1490
15091 3587 3114
3587 818 -6038
818 6748 1370
6748 8648 5459
8648 8721 -2101
821 19729 4340
19729 18555 -3719
18555 824 1837
824 19351 4779
19351 9022 339
9022 827 -566
827 18838 -2896
18838 16541 -2324
16541 8634 -314
8634 3819 6797
3819 11755 -4818
11755 5917 484
5917 14019 -3522
14019 835 8121
835 17649 -3860
17649 14311 -49
14311 838 2635
838 15462 -5413
15462 840 -1465
840 821 1576
16883 13689 2116
13689 17271 6065
17271 8620 -5342
8620 2894 1649
2894 11008 -1315
11008 847 -1327
847 3625 981
3625 779 6529
779 1665 -8327
1665 8355 85
8355 852 2201
852 19530 -3245
19530 11685 5054
11685 10844 -3125
10844 6790 1168
6790 16256 1812
16256 8432 4295
8432 9767 -1377
9767 12293 -5722
12293 16883 3136
355 5894 813
5894 7564 6775
7564 1960 2201
1960 1640 -4619
1640 6747 -4890
6747 15547 2806
15547 5919 363
5919 2155 2363
2155 19515 2387
19515 5802 -5235
5802 15506 6613
15506 11032 -7742
11032 19135 -454
19135 13712 315
13712 8232 5091
8232 18797 -3858
18797 8104 3744
8104 3069 706
3069 10534 -7349
10534 355 4558
11422 300 7330
300 11564 -6684
11564 18342 5886
18342 977 -2508
977 318 5341
318 18280 -1591
18280 16038 1509
16038 8310 -5012
8310 18624 -3497
18624 1925 1253
1925 7352 -644
7352 14203 3087
14203 16537 -763
16537 895 1652
895 896 2890
896 1476 1734
1476 6416 -3890
6416 8719 2818
8719 9990 989
9990 11422 -5097
9155 7827 1477
7827 8235 7270
8235 904 -7774
904 18683 8223
18683 5843 -7052
5843 9971 2305
9971 10432 -3878
10432 18258 6279
18258 910 -6149
910 4411 1606
4411 2548 -749
2548 3916 3447
3916 914 2102
914 11901 154
11901 17538 -7230
17538 9167 3220
9167 19644 -142
19644 18642 4025
18642 2493 -3726
2493 9155 1556
921 18376 9578
18376 15755 -8317
15755 4300 7409
4300 925 -5279
925 15724 2613
15724 17462 1480
17462 16621 -519
16621 2500 -3624
2500 3762 5345
3762 5250 -433
5250 12020 -4987
12020 11586 -1036
11586 10172 3792
10172 12480 1228
12480 19850 -7049
19850 5719 6533
5719 938 -2843
938 3394 1313
3394 7959 4215
7959 921 -940
1733 13521 9608
13521 8560 -7617
8560 12921 888
12921 630 -2254
630 6191 8865
6191 266 -3447
266 11845 26
11845 477 1269
477 12125 550
12125 951 -1137
951 952 361
952 142 -2560
142 954 3158
954 955 -7609
955 16228 1448
16228 11472 1051
11472 3639 5798
3639 2629 -5175
2629 11172 2500
11172 1733 -171
3948 6475 7979
6475 963 748
963 7028 -5243
7028 10691 1566
10691 10014 -3577
10014 14558 1798
14558 12626 2882
12626 969 3425
969 5303 -6587
5303 19547 799
19547 15314 -3521
15314 8053 3659
8053 19486 3865
19486 975 -1193
975 428 627
428 5467 -4226
5467 6884 4695
6884 17486 282
17486 2602 -3553
2602 3948 -1754
12351 16099 4810
16099 14335 -555
14335 8138 -4248
8138 14969 5762
14969 7085 -4998
7085 13286 3327
13286 18735 188
18735 3972 -1798
3972 13858 2882
13858 13275 -983
13275 5475 1540
5475 5463 -1583
5463 14388 -3216
14388 9616 -1075
9616 9811 6423
9811 18938 -4797
18938 998 919
998 3934 7039
3934 16096 -4049
16096 12351 -3020
14225 10074 348
10074 16803 9457
16803 12986 -8363
12986 10807 2491
10807 9865 -154
9865 13211 -1118
13211 14734 -1312
14734 19816 4231
19816 2225 759
2225 1591 1538
1591 5868 1125
5868 1013 -1362
1013 11960 -5526
11960 7914 -27
7914 19906 -1998
19906 19509 7586
19509 18645 2324
18645 17662 -5516
17662 1010 -942
1010 14225 4390
4687 19060 8653
19060 1023 -6495
1023 10489 -1247
10489 12851 5400
12851 1819 -3266
1819 16004 6831
16004 14456 -7713
14456 8329 159
8329 10194 2550
10194 8810 -2403
8810 8404 -92
8404 7198 2279
7198 3504 -4216
3504 1035 2027
1035 2545 -2321
2545 8121 5385
8121 12920 -4863
12920 19180 4659
19180 81 4103
81 4687 -8801
1041 16395 2392
16395 15087 -1336
15087 1876 4362
1876 1045 -5045
1045 10261 8599
10261 15365 -4732
15365 1216 3658
1216 1049 -7504
1049 1050 5644
1050 2348 1773
2348 1052 -7581
1052 5567 4224
5567 4817 74
4817 18270 -4354
18270 11051 1128
11051 1057 7585
1057 6088 -1081
6088 1059 -2500
1059 6178 -401
6178 1041 4358
1061 10930 9494
10930 194 -2874
194 603 -2521
603 2226 4313
2226 1066 -4818
1066 12161 -202
12161 8431 -158
8431 17444 4382
17444 3759 -7288
3759 1071 402
1071 15884 4199
15884 12564 -1889
12564 10556 -2855
10556 1075 4281
1075 14826 4009
14826 2032 1268
2032 4187 -1420
4187 19837 -3558
19837 8203 -1591
8203 1061 210
14685 5704 9342
5704 7425 -8325
7425 8843 5176
8843 1085 1336
1085 10471 -993
10471 18993 716
18993 19473 -7048
19473 18583 2094
18583 16542 -639
16542 1091 1601
1091 18929 -2200
18929 3915 5626
3915 17640 -3286
17640 14767 -3302
14767 8709 1899
8709 2050 -1649
2050 703 7046
703 1099 -3985
1099 1100 4763
1100 14685 -2603
9188 1102 1675
1102 14208 -678
14208 1104 -248
1104 15284 -559
15284 15125 8175
15125 7162 -344
7162 11042 -2336
11042 10303 3813
10303 13992 -5966
13992 441 3573
441 17794 60
17794 2301 -4193
2301 5468 -219
5468 3592 450
3592 19458 3978
19458 6890 -1796
6890 1118 -5206
1118 11629 950
11629 18251 636
18251 9188 4129
3901 19024 2869
19024 363 3849
363 18567 -3732
18567 6272 -590
6272 12400 791
12400 5571 22
5571 6267 2930
6267 1129 -4332
1129 1130 7349
1130 1131 168
1131 5712 -909
5712 11227 -1035
11227 1134 1192
1134 3564 -255
3564 16081 -513
16081 9326 -3211
9326 8079 -4545
8079 18450 4590
18450 11721 -1803
11721 3901 2169
14056 2133 8992
2133 16342 -4256
16342 12878 205
12878 6310 4277
6310 14496 -3344
14496 17139 2659
17139 17202 -2101
17202 7146 -4978
7146 1604 1843
1604 11836 -1767
11836 16017 7104
16017 9088 -2117
9088 7096 -2731
7096 3987 -1355
3987 4970 395
4970 1157 2006
1157 5430 2682
5430 13610 804
13610 8328 -1364
8328 14056 629
522 19568 2727
19568 12084 1254
12084 1164 3885
1164 1199 -5366
1199 1166 6853
1166 18713 -8288
18713 16057 3490
16057 2638 -3083
2638 14084 8022
14084 11838 -24
11838 5246 -5722
5246 6746 6154
6746 2740 -6240
2740 4561 4247
4561 4937 -3286
4937 17496 -2961
17496 3404 -133
3404 16531 3380
16531 7449 552
7449 522 -1337
6554 13501 8747
13501 14328 -6082
14328 16475 -2396
16475 18394 8242
18394 17141 -5608
17141 6323 6050
6323 13833 -3914
13833 4309 4699
4309 8838 -9666
8838 10144 5454
10144 5285 -3565
5285 8351 5970
8351 1194 -2630
1194 6629 2089
6629 3938 -5781
3938 9054 4436
9054 6487 -1945
6487 9407 -1333
9407 2040 1021
2040 6554 3680
2429 7036 3033
7036 12831 -1661
12831 5489 5193
5489 7361 -2480
7361 16093 3304
16093 2178 -138
2178 6370 -1244
6370 19779 -4551
19779 8306 6197
8306 1879 2253
1879 4226 -7345
4226 9193 4864
9193 4977 -4257
4977 8376 -2132
8376 2788 -363
2788 1217 119
1217 5223 4556
5223 9573 445
9573 1220 -5530
1220 2429 3986
18194 7183 7984
7183 1223 -7858
1223 18244 7978
18244 1887 -3786
1887 18521 1567
18521 1461 628
1461 14787 -3620
14787 1659 -1158
1659 9255 -1256
9255 5769 5827
5769 2933 -1769
2933 13472 -3034
13472 11761 3746
11761 11409 3330
11409 7947 -6576
7947 1237 7227
1237 1238 -278
1238 639 -2436
639 13046 -4218
13046 18194 7091
4669 1242 960
1242 1243 4617
1243 18489 309
18489 11729 4016
11729 8249 -3387
8249 11943 -2714
11943 18478 -618
18478 4305 5546
4305 5729 -7825
5729 13768 265
13768 13534 3277
13534 9396 -134
9396 1254 3948
1254 13791 510
13791 1256 -2401
1256 3453 -1561
3453 14382 623
14382 17092 2685
17092 15849 1272
15849 4669 -4115
17665 4872 3237
4872 8478 2326
8478 6917 -2644
6917 488 -2913
488 1266 3156
1266 14524 473
14524 3645 -2563
3645 18420 2474
18420 2281 1494
2281 4368 -782
4368 14694 -2144
14694 4475 2249
4475 3561 1826
3561 1275 2375
1275 16579 -6813
16579 17054 -61
17054 7467 4431
7467 15407 -2460
15407 2433 -2634
2433 17665 2214
1281 1282 7248
1282 1283 -5047
1283 16466 3656
16466 815 1102
815 17810 -487
17810 1287 2289
1287 12433 -4577
12433 368 806
368 15886 4878
15886 359 -2226
359 1292 -4836
1292 9813 1819
9813 5992 990
5992 12788 3259
12788 8501 -8448
8501 3906 1513
3906 16483 4867
16483 1299 -3125
1299 6028 4215
6028 1281 -2320
5338 4751 8245
4751 6704 -57
6704 10570 -2750
10570 8524 4135
8524 15578 -4814
15578 13376 3588
13376 7779 -72
7779 19611 -933
19611 19091 -399
19091 3263 -5191
3263 11501 70
11501 8427 2834
8427 1534 -962
1534 3750 3411
3750 8699 268
8699 16572 1509
16572 15670 -6112
15670 19563 2444
19563 9267 4548
9267 5338 -8946
1321 4326 5294
4326 17870 -5018
17870 3352 7550
3352 1325 109
1325 8881 -4841
8881 15950 -2160
15950 785 2079
785 11763 492
11763 18887 3261
18887 19765 3183
19765 2127 -5080
2127 2153 2749
2153 2458 2068
2458 16369 -5631
16369 5234 4420
5234 1337 -885
1337 11100 -5739
11100 14560 -1772
14560 5023 283
5023 1321 5818
1341 13958 7590
13958 14213 -2078
14213 17246 3230
17246 19774 10
19774 642 -7000
642 9368 -135
9368 4383 2963
4383 12580 -2411
12580 17795 2189
17795 13320 -3328
13320 4553 5812
4553 19202 2158
19202 3407 -3856
3407 5107 -4671
5107 1356 8802
1356 3167 -7704
3167 1923 8205
1923 1359 -208
1359 8316 -7929
8316 1341 2011
10328 11489 7435
11489 19897 -1351
19897 10373 -5513
10373 6316 4880
6316 17741 -2899
17741 14933 5256
14933 10550 -173
10550 1369 -4611
1369 18700 5140
18700 18842 713
18842 16110 -6512
16110 15296 7328
15296 14934 -1612
14934 5721 917
5721 5978 -7707
5978 1928 7211
1928 6644 -8308
6644 5967 1999
5967 1380 -1889
1380 10328 1188
3433 1382 9019
1382 4809 -5103
4809 1384 884
1384 1385 2198
1385 5610 255
5610 468 -174
468 277 -6191
277 8459 7035
8459 8723 -1602
8723 11492 -246
11492 1392 -235
1392 11714 -2021
11714 17840 4616
17840 10097 -5736
10097 6649 -309
6649 3279 -2305
3279 7496 6066
7496 10193 -740
10193 13540 -343
13540 3433 -666
1514 17154 2990
17154 8514 -1257
8514 4557 3586
4557 1405 -3455
1405 5212 3150
5212 1407 1637
1407 1408 -4062
1408 1799 -1924
1799 10356 11
10356 1411 3800
1411 1412 -3548
1412 4155 475
4155 1414 7350
1414 16240 -6446
16240 11131 6517
11131 10098 -6465
10098 10953 -1440
10953 14314 3053
14314 9542 -2560
9542 1514 686
1146 2945 3933
2945 1423 5737
1423 15108 -2535
15108 1017 -6204
1017 1426 -150
1426 4224 7341
4224 13919 -1693
13919 14152 361
14152 1189 -5406
1189 12994 6255
12994 11231 -3144
11231 1316 -3790
1316 8641 5177
8641 1435 -1908
1435 1436 2072
1436 389 3191
389 1438 -7222
1438 13740 332
13740 14825 3098
14825 1146 3457
8441 5272 4319
5272 4976 494
4976 11538 2299
11538 9625 -3352
9625 350 4339
350 3462 -3673
3462 10819 2453
10819 6023 -5171
6023 1450 976
1450 1451 2007
1451 3996 1523
3996 16463 684
16463 18569 -1950
18569 14963 4527
14963 18196 -2475
18196 3510 858
3510 9400 819
9400 1459 986
1459 876 -6476
876 8441 -30
15994 5633 2858
5633 1463 6721
1463 14866 -874
14866 1465 1222
1465 9975 -2844
9975 6916 1198
6916 6134 1205
6134 15047 512
15047 15355 -3206
15355 6308 1281
6308 1763 535
1763 2979 -2230
2979 1474 -5188
1474 1475 7243
1475 11219 -8248
11219 1477 7428
1477 15393 763
15393 2293 -2139
2293 1480 -1132
1480 15994 1718
11253 4605 7645
4605 11343 1376
11343 14475 -6082
14475 9264 5003
9264 3540 -6390
3540 10825 1501
10825 6204 6091
6204 10010 -8207
10010 16011 3898
16011 16288 -4316
16288 9908 7450
9908 10292 -149
10292 4833 -201
4833 19291 -1244
19291 13255 1218
13255 1497 1010
1497 16879 -1225
16879 15652 -1154
15652 13647 -656
13647 11253 1121
11443 19302 924
19302 15228 2000
15228 19226 -923
19226 19749 3630
19749 1248 -4264
1248 1507 -1093
1507 14219 6389
14219 13031 -364
13031 224 -5178
224 13171 2224
13171 11777 -581
11777 5181 -322
5181 13983 -617
13983 9007 3039
9007 12393 -527
12393 11424 2124
11424 4797 -781
4797 10792 505
10792 7108 -2178
7108 11443 -2730
574 16112 2816
16112 1523 4562
1523 4705 1576
4705 1178 -4678
1178 1526 426
1526 2606 1346
2606 3354 310
3354 10651 -327
10651 1530 -593
1530 10682 469
10682 1532 -3385
1532 5581 -1015
5581 13517 2523
13517 14704 -570
14704 17475 -2336
17475 12590 4586
12590 2203 -366
2203 7952 -565
7952 1193 -501
1193 574 5270
5128 16058 9421
16058 18784 -6206
18784 11166 2566
11166 1998 2599
1998 137 1347
137 3600 -5340
3600 14293 2997
14293 15335 2070
15335 15940 -224
15940 16513 -6443
16513 19723 1812
19723 7861 1922
7861 1554 -5242
